image_name x y
51_h.jpg 0.7612 0.6012
95_h.jpg 0.7449 0.3129
84_h.jpg 0.2878 0.7117
118_h.jpg 0.4714 0.4877
115_h.jpg 0.2286 0.3252
33_h.jpg 0.8878 0.3466
58_h.jpg 0.1551 0.1564
119_h.jpg 0.5163 0.4509
38_h.jpg 0.7388 0.8037
8_h.jpg 0.3449 0.3466
47_h.jpg 0.8122 0.1104
131_h.jpg 0.2163 0.6503
48_h.jpg 0.3980 0.1135
130_h.jpg 0.8510 0.6442
93_h.jpg 0.1939 0.2699
50_h.jpg 0.5918 0.7791
112_h.jpg 0.5673 0.8405
121_h.jpg 0.7714 0.8712
97_h.jpg 0.2429 0.4264
120_h.jpg 0.1633 0.7147
99_h.jpg 0.6286 0.5307
82_h.jpg 0.4020 0.1258
54_h.jpg 0.3163 0.7485
74_h.jpg 0.7469 0.2117
78_h.jpg 0.2449 0.4847
128_h.jpg 0.3061 0.2975
83_h.jpg 0.4163 0.2117
75_h.jpg 0.2204 0.7454
37_h.jpg 0.1510 0.6626
86_h.jpg 0.7653 0.2209
45_h.jpg 0.1143 0.4387
110_h.jpg 0.4408 0.5767
113_h.jpg 0.4837 0.5000
61_h.jpg 0.6653 0.3436
100_h.jpg 0.1796 0.8558
132_h.jpg 0.7122 0.4448
12_h.jpg 0.8143 0.8589
129_h.jpg 0.8102 0.2669
6_h.jpg 0.6469 0.7791
76_h.jpg 0.1857 0.7086
89_h.jpg 0.7286 0.3620
117_h.jpg 0.3510 0.2239
85_h.jpg 0.8143 0.2546
22_h.jpg 0.7980 0.5736
15_h.jpg 0.7041 0.8957
116_h.jpg 0.5490 0.7914
88_h.jpg 0.6816 0.3252
42_h.jpg 0.2408 0.8129
36_h.jpg 0.1612 0.7515
66_h.jpg 0.1837 0.5429
79_h.jpg 0.2857 0.4509
104_h.jpg 0.2612 0.2546
81_h.jpg 0.5020 0.8681
77_h.jpg 0.5592 0.5061
126_h.jpg 0.5510 0.2270
52_h.jpg 0.4571 0.2822
68_h.jpg 0.9041 0.1350
4_h.jpg 0.3347 0.6104
72_h.jpg 0.3163 0.3712
122_h.jpg 0.7796 0.8098
57_h.jpg 0.1143 0.6227
69_h.jpg 0.7571 0.6871
20_h.jpg 0.6551 0.7822
123_h.jpg 0.5286 0.5307
109_h.jpg 0.1857 0.2607
40_h.jpg 0.3122 0.6350
80_h.jpg 0.2327 0.2761
43_h.jpg 0.3327 0.3865
71_h.jpg 0.1490 0.7331
64_h.jpg 0.7306 0.8344
67_h.jpg 0.9551 0.8313
106_h.jpg 0.3306 0.3804
92_h.jpg 0.3592 0.7055
114_h.jpg 0.2000 0.6779
103_h.jpg 0.7510 0.7699
26_h.jpg 0.7449 0.7393
111_h.jpg 0.5429 0.7209
63_h.jpg 0.7000 0.8374
3_h.jpg 0.3143 0.6933
49_h.jpg 0.1347 0.6442
62_h.jpg 0.8469 0.2454
53_h.jpg 0.6653 0.0767
10_h.jpg 0.5082 0.4356
73_h.jpg 0.5245 0.5368
70_h.jpg 0.5776 0.2454
98_h.jpg 0.4531 0.8037
87_h.jpg 0.7082 0.2883
46_h.jpg 0.4776 0.4571
0_h.jpg 0.1694 0.1350
34_h.jpg 0.7265 0.3160
18_h.jpg 0.3327 0.3466
39_h.jpg 0.3898 0.3313
124_h.jpg 0.2367 0.1687
108_h.jpg 0.5143 0.4939
31_h.jpg 0.3571 0.3252
102_h.jpg 0.5449 0.6258
17_h.jpg 0.5000 0.5031
9_h.jpg 0.6327 0.2853
16_h.jpg 0.4204 0.3282
25_h.jpg 0.4327 0.2546
29_h.jpg 0.7878 0.3620
127_h.jpg 0.7735 0.8988
11_h.jpg 0.1857 0.6933
32_h.jpg 0.3592 0.1258
133_h.jpg 0.7653 0.1994
94_h.jpg 0.6612 0.4448
55_h.jpg 0.6755 0.4663
60_h.jpg 0.8490 0.3589
41_h.jpg 0.8163 0.7270
91_h.jpg 0.4959 0.2239
5_h.jpg 0.1531 0.2117
44_h.jpg 0.8796 0.5399
90_h.jpg 0.7327 0.5123
59_h.jpg 0.6612 0.7147
23_h.jpg 0.5837 0.6196
35_h.jpg 0.5714 0.6319
101_h.jpg 0.8000 0.6503
30_h.jpg 0.8510 0.3742
134_h.jpg 0.3735 0.4724
125_h.jpg 0.1122 0.8374
7_h.jpg 0.8816 0.1718
24_h.jpg 0.1816 0.3037
105_h.jpg 0.4224 0.8436
14_h.jpg 0.7837 0.3650
107_h.jpg 0.7673 0.4724
1_h.jpg 0.1286 0.1718
27_h.jpg 0.3755 0.3067
13_h.jpg 0.6204 0.2761
96_h.jpg 0.5286 0.8436
