image_name x y
51_v.jpg 0.2388 0.3988
95_v.jpg 0.2551 0.6871
84_v.jpg 0.7122 0.2883
118_v.jpg 0.5286 0.5123
115_v.jpg 0.7714 0.6748
33_v.jpg 0.1122 0.6534
58_v.jpg 0.8449 0.8436
119_v.jpg 0.4837 0.5491
38_v.jpg 0.2612 0.1963
8_v.jpg 0.6551 0.6534
47_v.jpg 0.1878 0.8896
131_v.jpg 0.7837 0.3497
48_v.jpg 0.6020 0.8865
130_v.jpg 0.1490 0.3558
93_v.jpg 0.8061 0.7301
50_v.jpg 0.4082 0.2209
112_v.jpg 0.4327 0.1595
121_v.jpg 0.2286 0.1288
97_v.jpg 0.7571 0.5736
120_v.jpg 0.8367 0.2853
99_v.jpg 0.3714 0.4693
82_v.jpg 0.5980 0.8742
54_v.jpg 0.6837 0.2515
74_v.jpg 0.2531 0.7883
78_v.jpg 0.7551 0.5153
128_v.jpg 0.6939 0.7025
83_v.jpg 0.5837 0.7883
75_v.jpg 0.7796 0.2546
37_v.jpg 0.8490 0.3374
86_v.jpg 0.2347 0.7791
45_v.jpg 0.8857 0.5613
110_v.jpg 0.5592 0.4233
113_v.jpg 0.5163 0.5000
61_v.jpg 0.3347 0.6564
100_v.jpg 0.8204 0.1442
132_v.jpg 0.2878 0.5552
12_v.jpg 0.1857 0.1411
129_v.jpg 0.1898 0.7331
6_v.jpg 0.3531 0.2209
76_v.jpg 0.8143 0.2914
89_v.jpg 0.2714 0.6380
117_v.jpg 0.6490 0.7761
85_v.jpg 0.1857 0.7454
22_v.jpg 0.2020 0.4264
15_v.jpg 0.2959 0.1043
116_v.jpg 0.4510 0.2086
88_v.jpg 0.3184 0.6748
42_v.jpg 0.7592 0.1871
36_v.jpg 0.8388 0.2485
66_v.jpg 0.8163 0.4571
79_v.jpg 0.7143 0.5491
104_v.jpg 0.7388 0.7454
81_v.jpg 0.4980 0.1319
77_v.jpg 0.4408 0.4939
126_v.jpg 0.4490 0.7730
52_v.jpg 0.5429 0.7178
68_v.jpg 0.0959 0.8650
4_v.jpg 0.6653 0.3896
72_v.jpg 0.6837 0.6288
122_v.jpg 0.2204 0.1902
57_v.jpg 0.8857 0.3773
69_v.jpg 0.2429 0.3129
20_v.jpg 0.3449 0.2178
123_v.jpg 0.4714 0.4693
109_v.jpg 0.8143 0.7393
40_v.jpg 0.6878 0.3650
80_v.jpg 0.7673 0.7239
43_v.jpg 0.6673 0.6135
71_v.jpg 0.8510 0.2669
64_v.jpg 0.2694 0.1656
67_v.jpg 0.0449 0.1687
106_v.jpg 0.6694 0.6196
92_v.jpg 0.6408 0.2945
114_v.jpg 0.8000 0.3221
103_v.jpg 0.2490 0.2301
26_v.jpg 0.2551 0.2607
111_v.jpg 0.4571 0.2791
63_v.jpg 0.3000 0.1626
3_v.jpg 0.6857 0.3067
49_v.jpg 0.8653 0.3558
62_v.jpg 0.1531 0.7546
53_v.jpg 0.3347 0.9233
10_v.jpg 0.4918 0.5644
73_v.jpg 0.4755 0.4632
70_v.jpg 0.4224 0.7546
98_v.jpg 0.5469 0.1963
87_v.jpg 0.2918 0.7117
46_v.jpg 0.5224 0.5429
0_v.jpg 0.8306 0.8650
34_v.jpg 0.2735 0.6840
18_v.jpg 0.6673 0.6534
39_v.jpg 0.6102 0.6687
124_v.jpg 0.7633 0.8313
108_v.jpg 0.4857 0.5061
31_v.jpg 0.6429 0.6748
102_v.jpg 0.4551 0.3742
17_v.jpg 0.5000 0.4969
9_v.jpg 0.3673 0.7147
16_v.jpg 0.5796 0.6718
25_v.jpg 0.5673 0.7454
29_v.jpg 0.2122 0.6380
127_v.jpg 0.2265 0.1012
11_v.jpg 0.8143 0.3067
32_v.jpg 0.6408 0.8742
133_v.jpg 0.2347 0.8006
94_v.jpg 0.3388 0.5552
55_v.jpg 0.3245 0.5337
60_v.jpg 0.1510 0.6411
41_v.jpg 0.1837 0.2730
91_v.jpg 0.5041 0.7761
5_v.jpg 0.8469 0.7883
44_v.jpg 0.1204 0.4601
90_v.jpg 0.2673 0.4877
59_v.jpg 0.3388 0.2853
23_v.jpg 0.4163 0.3804
35_v.jpg 0.4286 0.3681
101_v.jpg 0.2000 0.3497
30_v.jpg 0.1490 0.6258
134_v.jpg 0.6265 0.5276
125_v.jpg 0.8878 0.1626
7_v.jpg 0.1184 0.8282
24_v.jpg 0.8184 0.6963
105_v.jpg 0.5776 0.1564
14_v.jpg 0.2163 0.6350
107_v.jpg 0.2327 0.5276
1_v.jpg 0.8714 0.8282
27_v.jpg 0.6245 0.6933
13_v.jpg 0.3796 0.7239
96_v.jpg 0.4714 0.1564
